"Rank","State","Avg. Salary","Hourly Rate","Job Count","Job_role"
45,"Vermont",66511,31,111,"Business Analyst"
46,"Louisiana",62102,29,514,"Business Analyst"
47,"Mississippi",62421,30,266,"Business Analyst"
48,"Oklahoma",62585,30,441,"Business Analyst"
49,"Maine",64214,30,121,"Business Analyst"
50,"Florida",61057,29,2216,"Business Analyst"
51,"Hawaii",57267,27,123,"Business Analyst"
1,"California",122671,58,13637,"Data Engineer"
2,"Washington",109774,52,5265,"Data Engineer"
3,"Oregon",100261,48,1841,"Data Engineer"
4,"Rhode Island",98249,47,477,"Data Engineer"
5,"New York",105791,50,5098,"Data Engineer"
6,"Massachusetts",99706,47,3974,"Data Engineer"
7,"New Hampshire",98765,47,553,"Data Engineer"
8,"Nevada",97762,47,554,"Data Engineer"
9,"Connecticut",98578,47,1101,"Data Engineer"
10,"Montana",93730,45,378,"Data Engineer"
11,"Arizona",94626,45,1839,"Data Engineer"
12,"Pennsylvania",94827,45,3052,"Data Engineer"
13,"North Carolina",90638,43,3103,"Data Engineer"
14,"Delaware",93187,44,484,"Data Engineer"
15,"New Jersey",96169,46,2745,"Data Engineer"
16,"Texas",90441,43,6939,"Data Engineer"
17,"Maryland",95070,45,2832,"Data Engineer"
18,"District of Columbia",93681,45,943,"Data Engineer"
19,"Virginia",91870,44,4082,"Data Engineer"
20,"West Virginia",90518,43,309,"Data Engineer"
21,"Idaho",89175,42,490,"Data Engineer"
22,"Maine",89316,42,344,"Data Engineer"
23,"Ohio",89735,43,2323,"Data Engineer"
24,"Alaska",90912,43,241,"Data Engineer"
25,"New Mexico",89770,43,478,"Data Engineer"
26,"Michigan",87670,42,1923,"Data Engineer"
27,"Utah",84148,40,1413,"Data Engineer"
28,"Wisconsin",88188,42,1124,"Data Engineer"
29,"Georgia",86944,41,2853,"Data Engineer"
30,"Vermont",86072,41,276,"Data Engineer"
31,"North Dakota",83995,40,253,"Data Engineer"
32,"Minnesota",86507,41,2030,"Data Engineer"
33,"Illinois",86877,41,3727,"Data Engineer"
34,"Colorado",84459,40,2201,"Data Engineer"
35,"South Carolina",86974,41,694,"Data Engineer"
36,"Arkansas",82556,39,660,"Data Engineer"
37,"South Dakota",82480,39,273,"Data Engineer"
38,"Nebraska",82798,39,605,"Data Engineer"
39,"Tennessee",82077,39,1037,"Data Engineer"
40,"Iowa",81786,39,882,"Data Engineer"
41,"Kentucky",82219,39,707,"Data Engineer"
42,"Missouri",83893,40,1419,"Data Engineer"
43,"Wyoming",80613,38,184,"Data Engineer"
44,"Florida",84297,40,3654,"Data Engineer"
45,"Hawaii",80240,38,269,"Data Engineer"
46,"Indiana",80495,38,1618,"Data Engineer"
47,"Louisiana",82544,39,557,"Data Engineer"
48,"Mississippi",81576,39,310,"Data Engineer"
49,"Oklahoma",81181,39,475,"Data Engineer"
50,"Alabama",79954,38,992,"Data Engineer"
51,"Kansas",79762,38,731,"Data Engineer"
1,"Washington",111669,53,1222,"Data Scientist"
2,"New York",98821,47,2735,"Data Scientist"
3,"Delaware",92901,44,241,"Data Scientist"
4,"California",120196,57,3874,"Data Scientist"
5,"Massachusetts",94091,45,1684,"Data Scientist"
6,"Nevada",96695,46,278,"Data Scientist"
7,"Idaho",89669,43,249,"Data Scientist"
8,"Alaska",90445,43,148,"Data Scientist"
9,"New Jersey",90358,43,1845,"Data Scientist"
10,"New Hampshire",87302,41,292,"Data Scientist"
11,"Connecticut",89010,42,678,"Data Scientist"
12,"Arizona",89489,43,831,"Data Scientist"
13,"Rhode Island",88388,42,180,"Data Scientist"
14,"Utah",86604,41,510,"Data Scientist"
15,"Pennsylvania",85459,41,1804,"Data Scientist"
16,"District of Columbia",89648,43,504,"Data Scientist"
17,"West Virginia",86375,41,176,"Data Scientist"
18,"Oregon",88457,42,596,"Data Scientist"
19,"Maryland",87406,42,1516,"Data Scientist"
20,"Vermont",85676,41,123,"Data Scientist"
21,"North Carolina",81851,39,1788,"Data Scientist"
22,"South Dakota",80898,38,184,"Data Scientist"
23,"Virginia",85719,41,1789,"Data Scientist"
24,"Maine",83805,40,196,"Data Scientist"
25,"Ohio",82610,39,1164,"Data Scientist"
26,"Illinois",82774,39,2023,"Data Scientist"
27,"Texas",84311,40,2563,"Data Scientist"
28,"Montana",80145,38,197,"Data Scientist"
29,"New Mexico",80314,38,311,"Data Scientist"
30,"Minnesota",82819,39,947,"Data Scientist"
31,"Michigan",81586,39,872,"Data Scientist"
32,"North Dakota",77667,37,155,"Data Scientist"
33,"Tennessee",80287,38,551,"Data Scientist"
34,"Wisconsin",80315,38,679,"Data Scientist"
35,"Missouri",78098,37,868,"Data Scientist"
36,"Colorado",80168,38,877,"Data Scientist"
37,"Wyoming",76099,36,92,"Data Scientist"
38,"Arkansas",78131,37,266,"Data Scientist"
39,"Georgia",78393,37,1275,"Data Scientist"
40,"Indiana",76528,36,712,"Data Scientist"
41,"Iowa",75776,36,427,"Data Scientist"
42,"Kentucky",75741,36,396,"Data Scientist"
43,"Hawaii",66573,32,160,"Data Scientist"
44,"Kansas",74872,36,388,"Data Scientist"
45,"South Carolina",76879,36,423,"Data Scientist"
46,"Louisiana",76434,36,315,"Data Scientist"
47,"Nebraska",74466,35,284,"Data Scientist"
48,"Florida",75549,36,1801,"Data Scientist"
49,"Alabama",73671,35,390,"Data Scientist"
50,"Mississippi",73859,35,160,"Data Scientist"
51,"Oklahoma",73188,35,236,"Data Scientist"
1,"Delaware",93718,45,150,"Statistical Analyst"
2,"New Jersey",94789,45,625,"Statistical Analyst"
3,"District of Columbia",88145,42,551,"Statistical Analyst"
4,"New York",81544,39,1502,"Statistical Analyst"
5,"Rhode Island",75888,36,105,"Statistical Analyst"
6,"Washington",91816,44,444,"Statistical Analyst"
7,"Virginia",76213,36,1351,"Statistical Analyst"
8,"North Carolina",76300,36,685,"Statistical Analyst"
9,"Minnesota",77368,37,421,"Statistical Analyst"
10,"Maryland",78485,37,802,"Statistical Analyst"
11,"Connecticut",76654,36,256,"Statistical Analyst"
12,"Massachusetts",74163,35,833,"Statistical Analyst"
13,"California",80341,38,2277,"Statistical Analyst"
14,"Pennsylvania",71152,34,716,"Statistical Analyst"
15,"Illinois",70602,33,945,"Statistical Analyst"
16,"Texas",69503,33,1467,"Statistical Analyst"
17,"Ohio",67421,32,638,"Statistical Analyst"
18,"Wisconsin",70359,33,281,"Statistical Analyst"
19,"Georgia",68712,33,656,"Statistical Analyst"
20,"Maine",73643,35,56,"Statistical Analyst"
21,"Vermont",68990,33,49,"Statistical Analyst"
22,"Alabama",68109,32,253,"Statistical Analyst"
23,"Alaska",70835,34,64,"Statistical Analyst"
24,"Tennessee",67173,32,322,"Statistical Analyst"
25,"Arkansas",66713,32,159,"Statistical Analyst"
26,"Michigan",66269,31,435,"Statistical Analyst"
27,"Oregon",66141,31,323,"Statistical Analyst"
28,"Montana",66869,32,66,"Statistical Analyst"
29,"Nevada",65197,31,143,"Statistical Analyst"
30,"Colorado",64264,30,567,"Statistical Analyst"
31,"North Dakota",63067,30,69,"Statistical Analyst"
32,"Arizona",63283,30,465,"Statistical Analyst"
33,"Kansas",65613,31,164,"Statistical Analyst"
34,"South Dakota",64324,30,56,"Statistical Analyst"
35,"Indiana",63730,30,361,"Statistical Analyst"
36,"Kentucky",64230,30,180,"Statistical Analyst"
37,"Louisiana",65756,31,119,"Statistical Analyst"
38,"New Hampshire",64035,30,104,"Statistical Analyst"
39,"Utah",59675,28,269,"Statistical Analyst"
40,"Idaho",62804,30,100,"Statistical Analyst"
41,"Hawaii",56240,27,97,"Statistical Analyst"
42,"New Mexico",62509,30,108,"Statistical Analyst"
43,"Iowa",61931,29,172,"Statistical Analyst"
44,"Wyoming",58142,27,37,"Statistical Analyst"
45,"Florida",58010,27,983,"Statistical Analyst"
46,"South Carolina",62555,30,194,"Statistical Analyst"
47,"Nebraska",53610,25,143,"Statistical Analyst"
48,"Missouri",57203,27,340,"Statistical Analyst"
49,"West Virginia",58247,28,70,"Statistical Analyst"
50,"Oklahoma",52342,25,144,"Statistical Analyst"
51,"Mississippi",47713,22,95,"Statistical Analyst"
